10	124977.449988	3340.299090
6700	-nan(ind)	-nan(ind)
6710	-nan(ind)	-nan(ind)
6720	-nan(ind)	-nan(ind)
6730	-nan(ind)	-nan(ind)
6740	-nan(ind)	-nan(ind)
6750	-nan(ind)	-nan(ind)
6760	-nan(ind)	-nan(ind)
6770	-nan(ind)	-nan(ind)
6780	-nan(ind)	-nan(ind)
6790	-nan(ind)	-nan(ind)
6800	-nan(ind)	-nan(ind)
6810	-nan(ind)	-nan(ind)
6820	-nan(ind)	-nan(ind)
6830	-nan(ind)	-nan(ind)
6840	-nan(ind)	-nan(ind)
6850	-nan(ind)	-nan(ind)
6860	-nan(ind)	-nan(ind)
6870	-nan(ind)	-nan(ind)
6880	-nan(ind)	-nan(ind)
6890	-nan(ind)	-nan(ind)
6900	-nan(ind)	-nan(ind)
6910	-nan(ind)	-nan(ind)
6920	-nan(ind)	-nan(ind)
6930	-nan(ind)	-nan(ind)
6940	-nan(ind)	-nan(ind)
6950	-nan(ind)	-nan(ind)
6960	-nan(ind)	-nan(ind)
6970	-nan(ind)	-nan(ind)
6980	-nan(ind)	-nan(ind)
6990	-nan(ind)	-nan(ind)
7000	-nan(ind)	-nan(ind)
7010	-nan(ind)	-nan(ind)
7020	-nan(ind)	-nan(ind)
7030	-nan(ind)	-nan(ind)
7040	-nan(ind)	-nan(ind)
7050	-nan(ind)	-nan(ind)
7060	-nan(ind)	-nan(ind)
7070	-nan(ind)	-nan(ind)
7080	-nan(ind)	-nan(ind)
7090	-nan(ind)	-nan(ind)
7100	-nan(ind)	-nan(ind)
7110	-nan(ind)	-nan(ind)
7120	-nan(ind)	-nan(ind)
7130	-nan(ind)	-nan(ind)
7140	-nan(ind)	-nan(ind)
7150	-nan(ind)	-nan(ind)
7160	-nan(ind)	-nan(ind)
7170	-nan(ind)	-nan(ind)
7180	-nan(ind)	-nan(ind)
7190	-nan(ind)	-nan(ind)
7200	-nan(ind)	-nan(ind)
7210	-nan(ind)	-nan(ind)
7220	-nan(ind)	-nan(ind)
7230	-nan(ind)	-nan(ind)
7240	-nan(ind)	-nan(ind)
7250	-nan(ind)	-nan(ind)
7260	-nan(ind)	-nan(ind)
7270	-nan(ind)	-nan(ind)
7280	-nan(ind)	-nan(ind)
7290	-nan(ind)	-nan(ind)
7300	-nan(ind)	-nan(ind)
7310	-nan(ind)	-nan(ind)
7320	-nan(ind)	-nan(ind)
7330	-nan(ind)	-nan(ind)
